the chair is not green ; it is yellow ; the chair is yellow .
the chair is not yellow ; it is green ; the chair is green .
the chair is not purple ; it is orange ; the chair is orange .
the chair is not orange ; it is purple ; the chair is purple .
the chair is not black ; it is white ; the chair is white .
the chair is not white ; it is black ; the chair is black .
the chair is not brown ; it is gray ; the chair is gray .
the chair is not gray ; it is brown ; the chair is brown .
the chair is not red ; it is blue ; the chair is blue .
the chair is not blue ; it is red ; the chair is red .
the flag is not green ; it is yellow ; the flag is yellow .
the flag is not yellow ; it is green ; the flag is green .
the flag is not purple ; it is orange ; the flag is orange .
the flag is not orange ; it is purple ; the flag is purple .
the flag is not black ; it is white ; the flag is white .
the flag is not white ; it is black ; the flag is black .
the flag is not brown ; it is gray ; the flag is gray .
the flag is not gray ; it is brown ; the flag is brown .
the flag is not red ; it is blue ; the flag is blue .
the flag is not blue ; it is red ; the flag is red .
the cup is not green ; it is yellow ; the cup is yellow .
the cup is not yellow ; it is green ; the cup is green .
the cup is not purple ; it is orange ; the cup is orange .
the cup is not orange ; it is purple ; the cup is purple .
the cup is not black ; it is white ; the cup is white .
the cup is not white ; it is black ; the cup is black .
the cup is not brown ; it is gray ; the cup is gray .
the cup is not gray ; it is brown ; the cup is brown .
the cup is not red ; it is blue ; the cup is blue .
the cup is not blue ; it is red ; the cup is red .
the folder is not green ; it is yellow ; the folder is yellow .
the folder is not yellow ; it is green ; the folder is green .
the folder is not purple ; it is orange ; the folder is orange .
the folder is not orange ; it is purple ; the folder is purple .
the folder is not black ; it is white ; the folder is white .
the folder is not white ; it is black ; the folder is black .
the folder is not brown ; it is gray ; the folder is gray .
the folder is not gray ; it is brown ; the folder is brown .
the folder is not red ; it is blue ; the folder is blue .
the folder is not blue ; it is red ; the folder is red .
the jacket is not green ; it is yellow ; the jacket is yellow .
the jacket is not yellow ; it is green ; the jacket is green .
the jacket is not purple ; it is orange ; the jacket is orange .
the jacket is not orange ; it is purple ; the jacket is purple .
the jacket is not black ; it is white ; the jacket is white .
the jacket is not white ; it is black ; the jacket is black .
the jacket is not brown ; it is gray ; the jacket is gray .
the jacket is not gray ; it is brown ; the jacket is brown .
the jacket is not red ; it is blue ; the jacket is blue .
the jacket is not blue ; it is red ; the jacket is red .
the fence is not green ; it is yellow ; the fence is yellow .
the fence is not yellow ; it is green ; the fence is green .
the fence is not purple ; it is orange ; the fence is orange .
the fence is not orange ; it is purple ; the fence is purple .
the fence is not black ; it is white ; the fence is white .
the fence is not white ; it is black ; the fence is black .
the fence is not brown ; it is gray ; the fence is gray .
the fence is not gray ; it is brown ; the fence is brown .
the fence is not red ; it is blue ; the fence is blue .
the fence is not blue ; it is red ; the fence is red .
the box is not green ; it is yellow ; the box is yellow .
the box is not yellow ; it is green ; the box is green .
the box is not purple ; it is orange ; the box is orange .
the box is not orange ; it is purple ; the box is purple .
the box is not black ; it is white ; the box is white .
the box is not white ; it is black ; the box is black .
the box is not brown ; it is gray ; the box is gray .
the box is not gray ; it is brown ; the box is brown .
the box is not red ; it is blue ; the box is blue .
the box is not blue ; it is red ; the box is red .
the jacket is not locked ; it is unlocked ; the jacket is unlocked .
the jacket is not clean ; it is dirty ; the jacket is dirty .
the jacket is not full ; it is empty ; the jacket is empty .
the jacket is not broken ; it is fixed ; the jacket is fixed .
the jacket is not open ; it is closed ; the jacket is closed .
the fence is not locked ; it is unlocked ; the fence is unlocked .
the fence is not clean ; it is dirty ; the fence is dirty .
the fence is not full ; it is empty ; the fence is empty .
the fence is not broken ; it is fixed ; the fence is fixed .
the fence is not open ; it is closed ; the fence is closed .
the curtain is not locked ; it is unlocked ; the curtain is unlocked .
the curtain is not clean ; it is dirty ; the curtain is dirty .
the curtain is not full ; it is empty ; the curtain is empty .
the curtain is not broken ; it is fixed ; the curtain is fixed .
the curtain is not open ; it is closed ; the curtain is closed .
the ribbon is not locked ; it is unlocked ; the ribbon is unlocked .
the ribbon is not clean ; it is dirty ; the ribbon is dirty .
the ribbon is not full ; it is empty ; the ribbon is empty .
the ribbon is not broken ; it is fixed ; the ribbon is fixed .
the ribbon is not open ; it is closed ; the ribbon is closed .
the bucket is not locked ; it is unlocked ; the bucket is unlocked .
the bucket is not clean ; it is dirty ; the bucket is dirty .
the bucket is not full ; it is empty ; the bucket is empty .
the bucket is not broken ; it is fixed ; the bucket is fixed .
the bucket is not open ; it is closed ; the bucket is closed .
the door is not locked ; it is unlocked ; the door is unlocked .
the door is not clean ; it is dirty ; the door is dirty .
the door is not full ; it is empty ; the door is empty .
the door is not broken ; it is fixed ; the door is fixed .
the door is not open ; it is closed ; the door is closed .
the key was missing this morning ; it was found by lunch ; the key was found .
the receipt was missing at first ; it was found later ; the receipt was found .
mia did not order coffee ; mia ordered juice instead ; mia ordered juice .
mia did not choose soup ; mia chose salad instead ; mia chose salad .
theo did not order soup ; theo ordered salad instead ; theo ordered salad .
theo did not choose cereal ; theo chose toast instead ; theo chose toast .
zoe did not order cereal ; zoe ordered toast instead ; zoe ordered toast .
zoe did not choose cake ; zoe chose fruit instead ; zoe chose fruit .
kai did not order cake ; kai ordered fruit instead ; kai ordered fruit .
kai did not choose coffee ; kai chose juice instead ; kai chose juice .
priya did not order coffee ; priya ordered juice instead ; priya ordered juice .
priya did not choose soup ; priya chose salad instead ; priya chose salad .
diego did not order soup ; diego ordered salad instead ; diego ordered salad .
diego did not choose cereal ; diego chose toast instead ; diego chose toast .
hana did not order cereal ; hana ordered toast instead ; hana ordered toast .
hana did not choose cake ; hana chose fruit instead ; hana chose fruit .
oscar did not order cake ; oscar ordered fruit instead ; oscar ordered fruit .
